,Tahun,Produksi,Luas Panen,Curah hujan,Kelembapan,Suhu rata-rata,Produksi_Kategori
0,1993,79,88,44,71,35,0
1,1994,78,89,33,73,83,0
2,1995,83,95,29,85,46,0
3,1996,88,96,35,93,36,0
4,1997,82,93,21,78,49,0
5,1998,85,101,28,82,80,0
6,1999,90,99,54,88,39,0
7,2000,93,92,72,162,89,0
11,2004,81,102,14,55,118,0
12,2005,87,94,6,42,79,0
13,2006,95,87,3,53,75,0
14,2007,96,100,25,67,54,0
15,2008,84,90,19,33,86,0
16,2009,94,98,39,36,81,0
17,2010,111,97,73,64,89,1
18,2011,109,104,18,41,89,1
19,2012,99,106,15,43,81,0
20,2013,147,118,43,51,86,1
21,2014,114,103,97,30,89,1
22,2015,129,133,38,46,89,1
23,2016,143,80,13,98,90,1
24,2017,152,81,64,148,61,1
25,2018,106,91,26,119,59,1
26,2019,103,83,65,116,71,1
27,2020,117,86,42,54,13,1
28,1993,164,183,130,112,58,1
29,1994,169,194,87,111,55,1
30,1995,172,195,149,68,66,1
31,1996,173,193,107,63,50,1
32,1997,176,196,61,70,55,1
33,1998,182,201,123,104,91,1
34,1999,188,204,157,126,58,1
35,2000,189,205,20,92,101,1
36,2001,179,198,176,7,105,1
37,2002,174,187,69,5,109,1
38,2003,185,202,160,4,119,1
39,2004,186,203,115,52,116,1
40,2005,187,200,8,112,86,1
41,2006,168,175,0,58,103,1
42,2007,177,182,125,71,86,1
43,2008,183,181,118,64,81,1
44,2009,190,188,90,150,89,1
45,2010,191,184,63,34,92,1
46,2011,192,185,78,38,93,1
47,2012,197,186,162,16,95,1
48,2013,198,179,136,35,111,1
49,2014,193,177,86,38,104,1
50,2015,200,191,10,155,97,1
51,2016,203,122,111,71,100,1
52,2017,204,116,163,120,98,1
53,2018,139,113,117,46,56,1
54,2019,136,115,24,154,87,1
55,2020,135,107,46,109,22,1
57,1994,105,105,200,12,4,1
58,1995,116,112,202,159,8,1
59,1996,131,127,181,158,5,1
60,1997,110,109,150,161,7,1
62,1999,122,128,191,56,1,1
63,2000,108,111,154,151,27,1
65,2002,120,124,190,0,107,1
66,2003,115,114,201,2,115,1
67,2004,119,121,196,33,114,1
68,2005,123,126,34,26,28,1
69,2006,121,117,7,38,34,1
70,2007,125,123,192,142,20,1
71,2008,130,119,131,152,12,1
72,2009,138,130,198,152,14,1
75,2012,149,137,193,157,10,1
76,2013,150,139,197,156,9,1
77,2014,155,147,148,145,20,1
78,2015,156,149,175,120,60,1
79,2016,153,79,189,20,2,1
80,2017,163,78,195,11,0,1
81,2018,92,85,1,84,82,0
82,2019,91,84,199,160,16,0
83,2020,89,82,185,140,45,0
84,1993,31,49,144,153,33,0
85,1994,33,50,74,136,37,0
86,1995,35,59,158,138,40,0
87,1996,37,58,96,124,30,0
88,1997,27,40,32,114,45,0
89,1998,13,30,94,124,75,0
90,1999,36,63,81,127,36,0
91,2000,29,42,121,128,32,0
93,2002,23,34,159,1,108,0
94,2003,25,35,179,8,120,0
95,2004,34,46,128,107,123,0
96,2005,28,38,75,117,66,0
97,2006,0,39,4,43,101,0
98,2007,40,51,165,142,89,0
99,2008,41,54,152,48,97,0
100,2009,46,56,171,19,101,0
101,2010,56,65,171,19,101,0
102,2011,47,47,114,9,86,0
103,2012,44,44,139,18,95,0
104,2013,30,26,137,16,33,0
105,2014,21,16,108,28,93,0
106,2015,22,17,82,49,93,0
