Country,Overall Life,Male Life,Female Life,Continent,Cluster
Monaco,89.5,85.6,93.5,Europe,1
Japan,85.0,81.7,88.5,Asia,1
Singapore,85.0,82.3,87.8,Asia,1
San Marino,83.3,80.7,86.1,Europe,1
Iceland,83.0,80.9,85.3,Europe,1
"Hong Kong, China",82.9,80.3,85.8,Asia,1
Andorra,82.8,80.6,85.1,Europe,1
Switzerland,82.6,80.3,85.0,Europe,1
Guernsey,82.5,79.9,85.4,Europe,1
Israel,82.4,80.6,84.4,Asia,1
South Korea,82.4,79.3,85.8,Asia,1
Luxembourg,82.3,79.8,84.9,Europe,1
Australia,82.2,79.8,84.8,Oceania,1
Italy,82.2,79.6,85.0,Europe,1
Sweden,82.1,80.2,84.1,Europe,1
Canada,81.9,79.2,84.6,North America,1
Jersey,81.9,79.4,84.5,Europe,1
Liechtenstein,81.9,79.7,84.6,Europe,1
"France, metropolitan",81.8,78.7,85.1,Europe,1
Norway,81.8,79.8,83.9,Europe,1
Spain,81.7,78.7,84.9,Europe,1
Austria,81.5,78.9,84.3,Europe,1
Anguilla,81.4,78.8,84.1,North America,1
Bermuda,81.3,78.1,84.5,North America,1
Netherlands,81.3,79.2,83.6,Europe,1
Cayman Islands,81.2,78.5,84.0,North America,1
Isle of Man,81.2,79.5,83.0,Europe,1
New Zealand,81.2,79.1,83.3,Oceania,1
Belgium,81.0,78.4,83.7,Europe,1
Finland,80.9,77.9,84.0,Europe,1
Ireland,80.8,78.5,83.2,Europe,1
Germany,80.7,78.4,83.1,Europe,1
United Kingdom,80.7,78.5,83.0,Europe,1
Greece,80.5,77.9,83.3,Europe,1
Saint Pierre and Miquelon,80.5,78.2,83.0,North America,1
Faroe Islands,80.4,77.8,83.1,Europe,1
Malta,80.4,78.0,82.8,Europe,1
European Union,80.2,77.4,83.2,Europe,1
Taiwan,80.1,77.0,83.5,Asia,1
U.S. Virgin Islands,80.0,77.0,83.2,North America,1
Turks and Caicos Islands,79.8,77.1,82.7,North America,1
United States,79.8,77.5,82.1,North America,1
Wallis and Futuna,79.7,76.7,82.8,Oceania,1
"Saint Helena, Ascension and Tristan da Cunha",79.5,76.6,82.6,Africa,1
Denmark,79.4,77.0,82.0,Europe,1
Gibraltar,79.4,76.6,82.5,Europe,1
Puerto Rico,79.4,75.8,83.1,North America,1
Portugal,79.3,76.1,82.8,Europe,1
Bahrain,78.9,76.7,81.1,Asia,1
Chile,78.8,75.7,81.9,South America,1
Cuba,78.7,76.4,81.1,North America,1
Cyprus,78.7,75.8,81.6,Europe,1
Qatar,78.7,76.7,80.8,Asia,1
British Virgin Islands,78.6,77.2,80.1,North America,1
Costa Rica,78.6,75.9,81.4,North America,1
Czech Republic,78.6,75.7,81.8,Europe,1
Panama,78.6,75.8,81.6,North America,1
Albania,78.3,75.7,81.2,Europe,1
Slovenia,78.2,74.6,82.0,Europe,1
Dominican Republic,78.1,75.9,80.5,North America,1
Sint Maarten,78.1,75.8,80.6,North America,1
Kuwait,78.0,76.6,79.4,Asia,1
Northern Mariana Islands; US,78.0,75.3,80.8,Oceania,1
Falkland Islands,77.9,75.6,79.6,South America,1
Saint Lucia,77.8,75.0,80.7,North America,1
New Caledonia,77.7,73.7,81.9,Oceania,1
Lebanon,77.6,76.3,78.9,Asia,1
Poland,77.6,73.7,81.7,Europe,1
United Arab Emirates,77.5,74.8,80.2,Asia,1
Brunei,77.2,74.8,79.6,Asia,1
French Polynesia,77.2,74.9,79.6,Oceania,1
Paraguay,77.2,74.5,80.0,South America,1
Uruguay,77.2,74.1,80.5,South America,1
Argentina,77.1,74.0,80.4,South America,1
Slovakia,77.1,73.5,80.9,Europe,1
Dominica,77.0,74.0,80.1,North America,1
Morocco,76.9,73.8,80.1,Africa,1
Algeria,76.8,75.5,78.2,Africa,1
Aruba,76.8,73.7,79.9,South America,1
Ecuador,76.8,73.8,79.9,South America,1
Sri Lanka,76.8,73.3,80.4,Asia,1
Bosnia and Herzegovina,76.7,73.7,80.0,Europe,1
Estonia,76.7,71.9,81.7,Europe,1
Antigua and Barbuda,76.5,74.4,78.8,North America,1
Libya,76.5,74.7,78.3,Africa,1
Georgia,76.2,72.1,80.6,Europe,2
Republic of Macedonia,76.2,73.6,79.0,Europe,2
Tonga,76.2,74.7,77.8,Oceania,2
Tunisia,76.1,74.0,78.4,Africa,2
Croatia,75.9,72.7,79.2,Europe,2
Hungary,75.9,72.2,79.8,Europe,2
Mexico,75.9,73.1,78.8,North America,2
Cook Islands,75.8,73.0,78.8,Oceania,2
Venezuela,75.8,72.7,78.9,South America,2
Colombia,75.7,72.6,79.0,South America,2
Saint Kitts and Nevis,75.7,73.3,78.2,North America,2
Maldives,75.6,73.3,78.0,Asia,2
Mauritius,75.6,72.2,79.2,Africa,2
Oman,75.5,73.5,77.5,Asia,2
People's Republic of China,75.5,73.5,77.9,Asia,2
Serbia,75.5,72.6,78.5,Europe,2
American Samoa,75.4,72.4,78.5,Oceania,2
Barbados,75.3,73.0,77.7,North America,2
Saint Vincent and the Grenadines,75.3,73.3,77.4,North America,2
Saudi Arabia,75.3,73.2,77.4,Asia,2
Solomon Islands,75.3,72.7,78.1,Oceania,2
Romania,75.1,71.7,78.8,Europe,2
Malaysia,75.0,72.2,78.0,Asia,2
West Bank,75.0,73.0,77.1,Asia,2
Iraq,74.9,72.6,77.2,Asia,2
Lithuania,74.9,69.5,80.6,Europe,2
Syria,74.9,72.5,77.4,Asia,2
Turkey,74.8,72.5,77.3,Asia,2
El Salvador,74.7,71.4,78.1,North America,2
Seychelles,74.7,70.2,79.4,Africa,2
Thailand,74.7,71.5,78.0,Asia,2
Armenia,74.6,71.4,78.3,Europe,2
Jordan,74.6,73.2,76.1,Asia,2
Bulgaria,74.5,71.2,78.0,Europe,2
Latvia,74.5,69.9,79.3,Europe,2
Montserrat,74.4,75.8,72.9,North America,2
Grenada,74.3,71.7,77.1,North America,2
Gaza Strip,73.9,72.3,75.7,Asia,2
Brazil,73.8,70.2,77.5,South America,2
Uzbekistan,73.8,70.7,77.0,Asia,2
Peru,73.7,71.7,75.9,South America,2
Samoa,73.7,70.8,76.8,Oceania,2
Jamaica,73.6,72.0,75.3,North America,2
Vanuatu,73.4,71.8,75.1,Oceania,2
Vietnam,73.4,70.9,76.2,Asia,2
Bangladesh,73.2,71.0,75.4,Asia,2
Nicaragua,73.2,71.1,75.5,North America,2
Marshall Islands,73.1,70.9,75.4,Oceania,2
Palau,73.1,69.9,76.5,Oceania,2
Federated States of Micronesia,72.9,70.8,75.0,Oceania,2
Trinidad and Tobago,72.9,69.9,75.9,North America,2
Belarus,72.7,67.2,78.6,Europe,2
Egypt,72.7,71.4,74.2,Africa,2
Fiji,72.7,70.0,75.5,Oceania,2
Indonesia,72.7,67.3,69.8,Asia,2
Azerbaijan,72.5,69.5,75.8,Europe,2
Greenland; Denmark,72.4,69.7,75.2,North America,2
The Bahamas,72.4,70.0,74.8,North America,2
Guatemala,72.3,70.3,74.4,North America,2
Suriname,72.2,69.8,74.8,South America,2
Cabo Verde,72.1,69.8,74.5,Africa,2
Ukraine,71.8,67.1,76.9,Europe,2
Iran,71.4,69.8,73.1,Asia,2
Honduras,71.1,69.5,72.8,North America,2
Kazakhstan,70.8,65.6,75.7,Asia,2
Kyrgyzstan,70.7,66.5,75.1,Asia,2
Moldova,70.7,66.9,74.8,Europe,2
Nepal,70.7,70.1,71.3,Asia,2
North Korea,70.4,66.6,74.5,Asia,2
Russia,70.3,64.3,76.4,Asia,2
Bhutan,70.1,69.1,71.1,Asia,2
Turkmenistan,70.1,67.1,73.3,Asia,2
Mongolia,69.6,65.4,74.1,Asia,2
Bolivia,69.2,66.4,72.1,South America,2
Philippines,69.2,65.7,72.9,Asia,2
Belize,68.7,67.2,70.4,North America,2
India,68.5,67.3,69.8,Asia,2
Guyana,68.4,65.4,71.5,South America,2
Timor-Leste,68.1,66.5,69.7,Asia,2
Pakistan,67.7,65.8,69.8,Asia,2
Tajikistan,67.7,64.6,71.0,Asia,2
Papua New Guinea,67.2,65.0,69.5,Oceania,2
Nauru,67.1,63.0,70.5,Oceania,2
Burma,66.6,64.2,69.2,Asia,2
Ghana,66.6,64.1,69.1,Africa,2
Tuvalu,66.5,64.3,68.8,Oceania,2
Kiribati,66.2,63.7,68.8,Oceania,2
Madagascar,65.9,64.4,67.4,Africa,0
Yemen,65.5,63.4,67.8,Asia,0
Togo,65.0,62.3,69.7,Africa,0
Eritrea,64.9,62.4,67.5,Africa,0
São Tomé and Príncipe,64.9,63.6,66.3,Africa,0
The Gambia,64.9,62.5,67.3,Africa,0
